,index,date,result_page,subsection_name,headline,_id,word_count,print_page,web_url,byline,keywords,section_name,document_type,snippet,source,pub_date,lead_paragraph,type_of_material,uri,multimedia,abstract,news_desk,print_section
0,4824,1996-05-12,1,Unknown,"{'main': 'Small Victories', 'kicker': None, 'content_kicker': None, 'print_headline': 'Small Victories', 'name': None, 'seo': None, 'sub': None}",nyt://article/7135c243-ff49-5969-826b-119cd30572e7,1017,16.0,https://www.nytimes.com/1996/05/12/books/small-victories.html,"{'original': 'By Clyde Haberman', 'person': [{'firstname': 'Clyde', 'middlename': None, 'lastname': 'Haberman', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': ""O'Connor, Stephen"", 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'WILL MY NAME BE SHOUTED OUT? (BOOK)', 'rank': 4, 'major': 'N'}]",Books,article,Unknown,The New York Times,1996-05-12T05:00:00+0000,WILL MY NAME BE SHOUTED OUT? Reaching Inner City Students Through the Power of Writing. By Stephen O'Connor. 382 pp. New York: Simon & Schuster. $23.50.,Review,nyt://article/7135c243-ff49-5969-826b-119cd30572e7,[],    WILL MY NAME BE SHOUTED OUT? Reaching Inner City Students Through the Power of Writing. By Stephen O'Connor. 382 pp. New York: Simon & Schuster. $23.50.   ,Book Review Desk,7
1,11419,2000-04-23,0,Unknown,"{'main': 'Modern Geisha', 'kicker': None, 'content_kicker': None, 'print_headline': 'Modern Geisha', 'name': None, 'seo': None, 'sub': None}",nyt://article/5b90906a-17ed-5a3c-b850-cbcffe1fee22,1058,26.0,https://www.nytimes.com/2000/04/23/books/modern-geisha.html,"{'original': 'By Francine Prose', 'person': [{'firstname': 'Francine', 'middlename': None, 'lastname': 'Prose', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'Kramer, Gavin', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'SHOPPING (BOOK)', 'rank': 4, 'major': 'N'}]",Books,article,Francine Prose reviews book Shopping by Gavin Kramer (M),The New York Times,2000-04-23T05:00:00+0000,Shopping,Review,nyt://article/5b90906a-17ed-5a3c-b850-cbcffe1fee22,[],Francine Prose reviews book Shopping by Gavin Kramer (M),Book Review Desk,7
2,912,1992-08-09,0,Book Review,"{'main': 'IN SHORT: FICTION', 'kicker': None, 'content_kicker': None, 'print_headline': 'IN SHORT: FICTION', 'name': None, 'seo': None, 'sub': None}",nyt://article/01254112-5887-5f05-a717-e789fec6a2e6,243,21.0,https://www.nytimes.com/1992/08/09/books/in-short-fiction.html,"{'original': 'By Elizabeth Ferber', 'person': [{'firstname': 'Elizabeth', 'middlename': None, 'lastname': 'Ferber', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'FERBER, ELIZABETH', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Johnson, Greg', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'FRIENDLY DECEIT, A (BOOK)', 'rank': 4, 'major': 'N'}]",Books,article,"A FRIENDLY DECEIT
Short Stories.
By Greg Johnson.
Johns Hopkins University,
cloth, $30; paper, $12.95.",The New York Times,1992-08-09T05:00:00+0000,"A FRIENDLY DECEITShort Stories.By Greg Johnson.Johns Hopkins University,cloth, $30; paper, $12.95.",Review,nyt://article/01254112-5887-5f05-a717-e789fec6a2e6,[],"A FRIENDLY DECEIT
Short Stories.
By Greg Johnson.
Johns Hopkins University,
cloth, $30; paper, $12.95.",Book Review Desk,7
3,14365,2002-03-24,1,Unknown,"{'main': 'Save the Roach', 'kicker': None, 'content_kicker': None, 'print_headline': 'Save the Roach', 'name': None, 'seo': None, 'sub': None}",nyt://article/cf2209ab-3c2c-5c92-8c51-67dedcc26d02,695,4.0,https://www.nytimes.com/2002/03/24/books/save-the-roach.html,"{'original': 'By Ken Tucker', 'person': [{'firstname': 'Ken', 'middlename': None, 'lastname': 'Tucker', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'ESTRIN, MARC', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'INSECT DREAMS: THE HALF LIFE OF GREGOR SAMSA (BOOK)', 'rank': 4, 'major': 'N'}]",Books,article,Ken Tucker reviews book Insect Dreams: The Half Life of Gregor Samsa by Marc Estrin (M),The New York Times,2002-03-24T05:00:00+0000,INSECT DREAMS,Review,nyt://article/cf2209ab-3c2c-5c92-8c51-67dedcc26d02,[],Ken Tucker reviews book Insect Dreams: The Half Life of Gregor Samsa by Marc Estrin (M),Book Review Desk,7
4,725,1991-01-06,1,Book Review,"{'main': 'Her Guerilla Lover', 'kicker': None, 'content_kicker': None, 'print_headline': 'Her Guerilla Lover', 'name': None, 'seo': None, 'sub': None}",nyt://article/762617b5-bb6a-5ed8-b2ee-d3c3cd70b33c,608,18.0,https://www.nytimes.com/1991/01/06/books/her-guerilla-lover.html,"{'original': 'By David Unger', 'person': [{'firstname': 'David', 'middlename': None, 'lastname': 'Unger', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'UNGER, DAVID', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Shakespeare, Nicholas', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'VISION OF ELENA SILVES, THE (BOOK)', 'rank': 4, 'major': 'N'}]",Books,article,"THE VISION OF ELENA SILVES 
By Nicholas Shakespeare.
250 pp. New York:
Alfred A. Knopf.",The New York Times,1991-01-06T05:00:00+0000,THE VISION OF ELENA SILVES By Nicholas Shakespeare.250 pp. New York:Alfred A. Knopf.,Review,nyt://article/762617b5-bb6a-5ed8-b2ee-d3c3cd70b33c,[],"THE VISION OF ELENA SILVES 
By Nicholas Shakespeare.
250 pp. New York:
Alfred A. Knopf.",Book Review Desk,7
5,7619,1998-01-18,2,Book Review,"{'main': 'Books in Brief: Nonfiction', 'kicker': None, 'content_kicker': None, 'print_headline': 'Books in Brief: Nonfiction', 'name': None, 'seo': None, 'sub': None}",nyt://article/a1fe7001-d34d-5d63-8cc6-eb1b07d74579,268,16.0,https://www.nytimes.com/1998/01/18/books/books-in-brief-nonfiction.html,"{'original': 'By Lisa Michaels', 'person': [{'firstname': 'Lisa', 'middlename': None, 'lastname': 'Michaels', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'Fugard, Athol', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Michaels, Lisa', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 4, 'major': 'N'}, {'name': 'creative_works', 'value': 'Cousins: A Memoir (Book)', 'rank': 5, 'major': 'N'}]",Books,article,Lisa Michaels reviews book Cousins: A Memoir by Athol Fugard (S),The New York Times,1998-01-18T05:00:00+0000,"Cousins A Memoir. By Athol Fugard. Theater Communications Group, $19.95.",Review,nyt://article/a1fe7001-d34d-5d63-8cc6-eb1b07d74579,[],Lisa Michaels reviews book Cousins: A Memoir by Athol Fugard (S),Book Review Desk,7
6,829,1991-02-03,0,Unknown,"{'main': 'IN SHORT: NONFICTION', 'kicker': None, 'content_kicker': None, 'print_headline': 'IN SHORT: NONFICTION', 'name': None, 'seo': None, 'sub': None}",nyt://article/524c1dbd-6aad-5277-a313-f3bc30052645,193,18.0,https://www.nytimes.com/1991/02/03/books/in-short-nonfiction-017391.html,"{'original': 'By Martha Southgate', 'person': [{'firstname': 'Martha', 'middlename': None, 'lastname': 'Southgate', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'SIDRANSKY, RUTH', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'BOOK REVIEWS', 'rank': 2, 'major': 'N'}, {'name': 'creative_works', 'value': 'IN SILENCE: GROWING UP HEARING IN A DEAF WORLD (BOOK)', 'rank': 3, 'major': 'N'}]",Books,article,Unknown,The New York Times,1991-02-03T05:00:00+0000,"IN SILENCE Growing Up Hearing in a Deaf World. By Ruth Sidransky. St. Martin's, $18.95.",Review,nyt://article/524c1dbd-6aad-5277-a313-f3bc30052645,[],"  IN SILENCE Growing Up Hearing in a Deaf World. By Ruth Sidransky. St. Martin's, $18.95.",Book Review Desk,7
7,1835,2008-03-23,1,Book Review,"{'main': 'At the Hotel New Yorker', 'kicker': None, 'content_kicker': None, 'print_headline': 'At the Hotel New Yorker', 'name': None, 'seo': None, 'sub': None}",nyt://article/6647ecf3-92b5-52f8-ad27-aa6f6b8324d1,641,18.0,https://www.nytimes.com/2008/03/23/books/review/Thomas-t.html,"{'original': 'By Louisa Thomas', 'person': [{'firstname': 'Louisa', 'middlename': None, 'lastname': 'Thomas', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Tesla, Nikola', 'rank': 2, 'major': 'N'}]",Books,article,"In this novel, a chambermaid strikes up a friendship with a guest, the dying inventor Nikola Tesla.",The New York Times,2008-03-23T04:00:00+0000,"The inventor Nikola Tesla is a historical novelist’s dream. He was the brain behind alternating current, radio, wireless communication and remote control. He was a friend of Mark Twain and a foe of Thomas Edison. Like Alfred Nobel, he had the hubris to believe he could invent a weapon that would ensure eternal peace. He tore up a contract with Westinghouse worth millions. After he died, destitute and forgotten, an F.B.I. agent wrote that the government was “vitally interested” in his papers. Tesla believed he had communications with Mars. He was extremely fond of pigeons. His every action gleams with a kind of guarantee: strange, but true.",Review,nyt://article/6647ecf3-92b5-52f8-ad27-aa6f6b8324d1,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/03/23/books/thomas-190.jpg', 'height': 240, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2008/03/23/books/thomas-75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2008/03/23/books/thomas-75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","In this novel, a chambermaid strikes up a friendship with a guest, the dying inventor Nikola Tesla.",BookReview,BR
8,539,2007-06-03,2,Book Review,"{'main': 'In the Wee Small Hours', 'kicker': None, 'content_kicker': None, 'print_headline': 'In the Wee Small Hours', 'name': None, 'seo': None, 'sub': None}",nyt://article/c40cf49f-f75d-5e68-a1a8-3469029e6f46,1112,Unknown,https://www.nytimes.com/2007/06/03/books/review/Kirn-t.html,"{'original': 'By Walter Kirn', 'person': [{'firstname': 'Walter', 'middlename': None, 'lastname': 'Kirn', 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'subject', 'value': 'Books and Literature', 'rank': 1, 'major': 'N'}, {'name': 'persons', 'value': 'Murakami, Haruki', 'rank': 2, 'major': 'N'}]",Books,article,"Haruki Murakami’s novel features two sisters, one in an enchanted sleep, the other up all night.",The New York Times,2007-06-03T04:00:00+0000,"Should the aliens ever descend in their sleek ships and train their great scanners on our population centers, capturing our deeds and dreams for transmission back to cosmic headquarters, let’s hope they show us the patient tenderness of Haruki Murakami, the Japanese novelist, who himself is not wholly of this world. In a dozen books on our existence here — not in Japan or any special nation but as children of gravity, as earthlings — Murakami has done as good a job as any contemporary writer of pleading humanity’s poignant case before the court of whoever may be out there. Have mercy, oh interstellar lords. We’re lonesome and small and we know not what we do, only that we’re obliged by God or nature to bathe, dress, eat and keep on doing it.",Review,nyt://article/c40cf49f-f75d-5e68-a1a8-3469029e6f46,"[{'rank': 0, 'subtype': 'articleInline', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/03/books/mura190.jpg', 'height': 238, 'width': 190, 'legacy': {}, 'subType': 'articleInline', 'crop_name': 'articleInline'}, {'rank': 0, 'subtype': 'thumbnail', 'caption': None, 'credit': None, 'type': 'image', 'url': 'images/2007/06/03/books/mura75.jpg', 'height': 75, 'width': 75, 'legacy': {'thumbnail': 'images/2007/06/03/books/mura75.jpg', 'thumbnailwidth': 75, 'thumbnailheight': 75}, 'subType': 'thumbnail', 'crop_name': 'thumbStandard'}]","Haruki Murakami’s novel features two sisters, one in an enchanted sleep, the other up all night.",BookReview,Unknown
9,5702,1996-11-17,1,Unknown,"{'main': 'Angels With Attitude', 'kicker': 'Books in Brief: Fiction', 'content_kicker': None, 'print_headline': 'Angels With Attitude', 'name': None, 'seo': None, 'sub': None}",nyt://article/512a346b-fdb4-56aa-9aff-724876f79e81,297,25.0,https://www.nytimes.com/1996/11/17/books/angels-with-attitude.html,"{'original': 'By J.d. Biersdorfer', 'person': [{'firstname': None, 'middlename': None, 'lastname': None, 'qualifier': None, 'title': None, 'role': 'reported', 'organization': '', 'rank': 1}], 'organization': None}","[{'name': 'persons', 'value': 'Sosnowski, David', 'rank': 1, 'major': 'N'}, {'name': 'subject', 'value': 'Reviews', 'rank': 2, 'major': 'N'}, {'name': 'subject', 'value': 'Books and Literature', 'rank': 3, 'major': 'N'}, {'name': 'creative_works', 'value': 'RAPTURE (BOOK)', 'rank': 4, 'major': 'N'}]",Books,article,J D Biersdorfer reviews book Rapture by David Sosnowski; drawing (S),The New York Times,1996-11-17T05:00:00+0000,"It seems that there actually are angels in America -- not only on the Broadway stage, but in inner-city Detroit. And these aren't the wistful greeting-card cherub variety or the swirly seraphim found peeking from the inspirational-book racks. The winged humans in David Sosnowski's wry, dry first novel are angels with attitude. RAPTURE (Villard, $23) starts off with Zander Wiles, a small-time Motor City drug dealer who one day feels a strange itching and weeks later finds himself with a pair of nine-foot black wings growing out of his back and an increased magnetic field emanating from his chest cavity. Zander eventually heads for New York, gets himself an agent and becomes the first angel to go public. However, the angel epidemic is on the rise, as is public awareness. A college student named Cassie O'Connor cross-references her symptoms at the campus library to find that she might have ''the flu, food poisoning, AIDS or that new, weird one -- Angelism.'' The novel's allegorical structure allows Mr. Sosnowski to skewer the whole spectrum of modern culture as he chronicles a newly self-aware minority going through all the trials of joining a suspicious society. Congress encumbers them with legislation and religious pundits weakly rationalize their existence, but the Angels go on to gain that true pinnacle of acceptance -- their own mainstream marketing niche. The Feathered Nation soon has its own bars, movie theaters (featuring ''perch-style seating''), support groups, bumper stickers, pop slang and militant factions. As the book's plot kicks in, the alert reader will figure out that Zander's flight path is destined to cross with Cassie's, and the witty, arch angel banter they engage in as their romance unfolds is one of the book's greatest delights. J. D. Biersdorfer",Review,nyt://article/512a346b-fdb4-56aa-9aff-724876f79e81,[],J D Biersdorfer reviews book Rapture by David Sosnowski; drawing (S),Book Review Desk,7
